Record Type,Symbol,Grant Date,Settlement Type,Granted Qty.,Withheld Qty.,Vested Qty.,Unvested Qty.,Deferred / Pending Release Qty.,Sellable Qty.,Est. Market Value,Grant Number,Cancelled Qty.,Pending Sale Qty.,Blocked Qty.,Type,Class,Status,Vest Period,Vest Date,Deferred Until,Granted Qty.,Other Reason for cancelled qty,Cancelled Qty.,Date Cancelled,Vested Qty.,Released Qty,Released Amount,Sellable Qty.,Blocked Qty.,Blocked Share Qty.,Total Taxes Paid,Sellable Qty.,Pending Sale Qty.,Sellable Est. Market Value,Est. Cost Basis (per share):,Est. Taxable Gain/Loss (per share):,Tax Status,Shares Traded for taxes,Tax Status,Tax Description,Taxable Gain,Effective Tax Rate,Withholding Amount,Total Estimated Tax Withholding,Dividend,Dividend Record Date,Dividend Payable Date,Dividend Cancel Date,Dividend Release Date,Dividend Type,Dividend Per Share,Dividend Market Value,Dividend Cash,Dividend Share,Release Dividend Shares,Dividend Fractional Shares Remaining,Dividend Market Value at Release,Cash-in-Lieu,Blocked,Blocked Type,Release Date
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,Medicare,"$7,963.62 ",1.45%,$115.47 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,Medicare0,$964.70 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$6,998.92 ",0.9000000000000001%,$62.99 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,CA-State,"$7,963.62 ",10.23%,$814.68 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$7,963.62 ",1.3%,$103.53 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,13,07/01/2026,,937,,0,,937,937,$0.00 ,0,0,,"$3,686.78 ",,,,,,,337,Paid at Vest,,,,,,,,,,,,,,,,0,0,$10.94 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$10,250.78 ",22%,"$2,263.97 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,Medicare,"$10,250.78 ",1.45%,$148.64 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$10,250.78 ",0.9000000000000001%,$92.26 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,CA-State,"$10,250.78 ",10.23%,"$1,048.65 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$10,250.78 ",1.3%,$133.26 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,14,10/01/2026,,938,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
